Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0059-T01,Laval - Quebec,0.8099999999999999,18,7,0,0,131,0,0,0,0,0,32,0,0,0
NSLC-0060-T01,Laval - Quebec,0.86,35,0,0,0,1241,267,0,0,0,0,0,0,0,0
NSLC-0061-T01,Laval - Quebec,0.86,257,496,0,0,1398,0,0,381,0,0,1380,0,2940,0
NSLC-0062-T01,Laval - Quebec,0.77,194,204,0,0,1043,0,0,0,0,0,0,0,1575,0
NSLC-0063-T01,Laval - Quebec,0.87,53,0,0,0,473,0,0,0,0,0,0,0,601,0
NSLC-0064-T01,Laval - Quebec,0.83,109,0,0,0,1024,0,0,0,0,0,0,0,2647,0
NSLC-0065-T01,Laval - Quebec,0.7899999999999999,174,11818,0,0,3806,0,0,10194,0,0,0,0,0,0
NSLC-0066-T01,Laval - Quebec,0.98,165,0,0,0,932,0,0,0,0,0,0,0,1157,0
NSLC-0067-T01,Laval - Quebec,0.95,209,164,0,0,1213,0,0,0,0,0,486,0,1785,0
NSLC-0068-T01,Laval - Quebec,0.86,27,15,0,0,138,0,0,0,0,0,0,0,252,0
NSLC-0069-T01,Laval - Quebec,0.98,289,0,0,0,1495,426,0,0,0,0,0,0,0,0
NSLC-0071-T01,Laval - Quebec,0.99,205,0,0,0,268,0,0,236,0,0,0,0,3084,0
NSLC-0072-T01,Laval - Quebec,1,59,0,0,0,821,0,0,0,0,0,0,0,0,0
NSLC-0073-T01,Laval - Quebec,0.7,153,0,0,0,926,0,0,0,0,0,0,0,1297,0
NSLC-0074-T01,Laval - Quebec,0.8999999999999999,191,226,0,0,858,0,0,0,0,0,0,0,1684,0
NSLC-0076-T01,Laval - Quebec,0.84,119,158,0,0,804,0,0,0,0,0,0,0,1607,0
NSLC-0077-T01,Laval - Quebec,0.9099999999999999,33,0,0,0,927,215,0,0,0,0,0,0,0,0
NSLC-0078-T01,Laval - Quebec,0.95,279,140,0,0,1072,0,0,0,0,0,0,0,1754,0
NSLC-0079-T01,Laval - Quebec,1,391,624,0,0,1180,0,0,902,0,0,0,0,5433,0
NSLC-0080-T01,Laval - Quebec,0.82,325,395,0,0,3133,0,0,306,0,0,1444,0,0,0
NSLC-0081-T01,Laval - Quebec,0.7999999999999999,416,0,0,0,594,0,0,0,0,0,0,0,2936,0
NSLC-0082-T01,Laval - Quebec,0.7899999999999999,29,0,0,0,116,0,0,0,0,0,0,0,190,0
NSLC-0083-T01,Laval - Quebec,0.84,80,0,0,0,1170,256,0,0,0,0,0,0,0,0
NSLC-0084-T01,Laval - Quebec,0.84,8,14,0,0,94,36,0,12,0,0,0,0,0,0
NSLC-0085-T01,Laval - Quebec,0.7999999999999999,278,303,0,0,1013,0,0,288,0,0,0,0,1487,0
NSLC-0086-T01,Laval - Quebec,0.9299999999999999,158,197,0,0,619,0,0,150,0,0,0,0,2041,0
NSLC-0087-T01,Laval - Quebec,0.8099999999999999,240,0,0,0,1231,0,0,0,0,0,0,0,2166,0
NSLC-0088-T01,Laval - Quebec,0.95,340,0,0,0,771,0,287,0,0,0,0,0,2354,342
NSLC-0090-T01,EAGLE - NCI,0.73,157,17207,0,0,1746,0,0,18410,0,0,0,0,0,0
NSLC-0092-T01,EAGLE - NCI,0.8999999999999999,295,88,0,0,1071,0,0,53,0,0,0,0,2451,0
NSLC-0092-T03,EAGLE - NCI,0.95,821,358,0,0,1148,0,0,219,0,0,0,0,5488,0
NSLC-0092-T05,EAGLE - NCI,0.84,438,430,0,0,1224,0,0,409,0,0,0,0,3350,0
